# METADATA
start-addr   : 0x561880d8d2a0
end-addr     : 0x561880d8ee30
block-size   : 7056
owner-thread : 0
slice-size   : 129
thread-count : 8
event-count  : 9512
max-qtime    : 9335

# DATA
time,thread,event,size,offset
697,0,W,8,4464
698,0,R,8,4104
699,0,R,8,4456
700,0,W,8,4104
701,0,W,8,4456
702,0,R,8,4112
703,0,R,8,4448
704,0,W,8,4112
705,0,W,8,4448
706,0,R,8,4120
707,0,R,8,4440
708,0,W,8,4120
709,0,W,8,4440
710,0,R,8,4128
711,0,R,8,4432
712,0,W,8,4128
713,0,W,8,4432
714,0,R,8,4136
715,0,R,8,4424
716,0,W,8,4136
717,0,W,8,4424
718,0,R,8,4144
719,0,R,8,4416
720,0,W,8,4144
721,0,W,8,4416
722,0,R,8,4152
723,0,R,8,4408
724,0,W,8,4152
725,0,W,8,4408
726,0,R,8,4160
727,0,R,8,4400
728,0,W,8,4160
729,0,W,8,4400
730,0,R,8,4168
731,0,R,8,4392
732,0,W,8,4168
733,0,W,8,4392
734,0,R,8,4176
735,0,R,8,4384
736,0,W,8,4176
737,0,W,8,4384
738,0,R,8,4184
739,0,R,8,4376
740,0,W,8,4184
741,0,W,8,4376
742,0,R,8,4192
743,0,R,8,4368
744,0,W,8,4192
745,0,W,8,4368
746,0,R,8,4200
747,0,R,8,4360
748,0,W,8,4200
749,0,W,8,4360
750,0,R,8,4208
751,0,R,8,4352
752,0,W,8,4208
753,0,W,8,4352
754,0,R,8,4216
755,0,R,8,4344
756,0,W,8,4216
757,0,W,8,4344
758,0,R,8,4224
759,0,R,8,4336
760,0,W,8,4224
761,0,W,8,4336
762,0,R,8,4232
763,0,R,8,4328
764,0,W,8,4232
765,0,W,8,4328
766,0,R,8,4240
767,0,R,8,4320
768,0,W,8,4240
769,0,W,8,4320
770,0,R,8,4248
771,0,R,8,4312
772,0,W,8,4248
773,0,W,8,4312
774,0,R,8,4256
775,0,R,8,4304
776,0,W,8,4256
777,0,W,8,4304
778,0,R,8,4264
779,0,R,8,4296
780,0,W,8,4264
781,0,W,8,4296
782,0,R,8,4272
783,0,R,8,4288
784,0,W,8,4272
785,0,W,8,4288
786,0,R,8,3696
787,0,R,8,4528
788,0,W,8,3696
789,0,W,8,4528
790,0,R,8,3704
791,0,R,8,4520
792,0,W,8,3704
793,0,W,8,4520
794,0,R,8,3712
795,0,R,8,4512
796,0,W,8,3712
797,0,W,8,4512
798,0,R,8,3720
799,0,R,8,4504
800,0,W,8,3720
